Une Souris Verte,Une souris verte Qui courait dans l'herbe,Je l'attrape par la queue Je la montre à ses messieurs,MEMOIRE,Je l'attrape par la queue Je la montre à ses messieurs,Je l'attrape par la main Je la montre à ses requins,Je l'attrape par les Je la vend à ses messieurs
Une Souris Verte,Trempez-la dans l'huile Trempez-la dans l'eau ...,Ca fera un escargot Tout chaud !,ORTHOGRAPHE,Ca fera un escargaux Tout chaud !,Ca fera un escargot Tout chot !,Ca fera un escargot Tout chaud !
Une Souris Verte,Je la mets dans un tiroir ...,Elle me dit Qu'il fait trop noir,CONJUGAISON,Elle me dite Qu'il fait trop noir,Elle me dit Qu'il fait trop noir,Elle me dit Qu'il fit trop noir
Au Clair de la Lune,Au clair de la lune Mon ami Pierrot ...,Prête-moi ta plume Pour écrire un mot,MEMOIRE,Prête-moi tes chaussure Pour courrir dehors,Prête-moi ta plume Pour écrire un mot,Prête-moi ton Pour l'amour de Dieu
Au Clair de la Lune,Ma chandelle est morte ... Pour l´amour de Dieu,Je n´ai plus de feu Ouvre-moi ta porte,CONJUGAISON,Je n´aurait plus de feu Ouvre-moi ta porte,Je n´ai plus de feu Ouvre-moi ta porte,Je n´ai plus de feu Ouvrez-moi ta porte
Au Clair de la Lune,Au clair de la lune Pierrot répondit :,Je n´ai pas de plume Je suis dans mon lit,ORTHOGRAPHE,Je n´ai pas de plume Je suis dans mon lit,Je n´est pas de plume Je suis dans mon lits,Je n´ai pa de plume Je sui dans mon lit
Promenons-nous dans les bois,,,MEMOIRE,,,
Promenons-nous dans les bois,,,CONJUGAISON,,,
Promenons-nous dans les bois,,,ORTHOGRAPHE,,,
À la claire fontaine,,,MEMOIRE,,,
À la claire fontaine,,,CONJUGAISON,,,
À la claire fontaine,
Balance ton quoi,,,MEMOIRE,,,
Balance ton quoi,,,CONJUGAISON,,,
Balance ton quoi,,,ORTHOGRAPHE,,,
Petit Escargot,,,MEMOIRE,,,
Petit Escargot,,,CONJUGAISON,,,
Petit Escargot,,,ORTHOGRAPHE,,,
Formidable,,,MEMOIRE,,,
Formidable,,,CONJUGAISON,,,
Formidable,,,ORTHOGRAPHE,,,
En Feu,,,MEMOIRE,,,
En Feu,,,CONJUGAISON,,,
En Feu,,,ORTHOGRAPHE,,,
Dommage,,,MEMOIRE,,,
Dommage,,,CONJUGAISON,,,
Dommage,,,ORTHOGRAPHE,,,
Évidemment,,,MEMOIRE,,,
Évidemment,,,CONJUGAISON,,,
Évidemment,,,ORTHOGRAPHE,,,
